edad,victimas,victimarios
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,1,0
18,1,0
19,0,2
20,2,0
21,0,1
22,2,1
23,0,0
24,1,0
25,1,1
26,3,1
27,2,1
28,1,2
29,0,0
30,1,0
31,1,2
32,4,1
33,1,3
34,1,2
35,1,1
36,4,0
37,1,0
38,1,1
39,2,1
40,1,2
41,1,1
42,2,0
43,2,3
44,0,0
45,0,1
46,1,0
47,0,0
48,1,0
49,1,0
50,0,0
51,0,0
52,0,1
53,0,2
54,0,0
55,0,2
56,0,0
57,0,0
58,1,1
59,0,0
60,0,2
61,0,0
62,0,0
63,1,0
64,1,0
65,0,0
66,0,2
67,1,1
68,1,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,1
78,0,0
79,0,0
80,1,0
