nombre,utc,mw,pais,coords
Terremoto de Valdivia de 1960,"22 de mayo de 1960, 15:11",9.5,Chile,"-38.24000, -73.05000"
Terremoto del océano Índico de 2004[6]​,"26 de diciembre de 2004, 7:58",9.3,Indonesia,
Terremoto de Alaska de 1964[7]​[8]​,"28 de marzo de 1964, 3:36",9.2,Estados Unidos,"61, -148"
Terremoto y maremoto de Japón de 2011[10]​,"11 de marzo de 2011, 14:46",9,Japón,"38.3220000, 142.3690000"
Terremoto de Kamchatka de 1952[11]​[13]​[14]​,"4 de noviembre de 1952, 16:58",9,Unión Soviética (actual Rusia),"52.800, 159.500"
Terremoto de Arica de 1868[15]​[16]​,"13 de agosto de 1868, 21:30",9,Perú (actual  Chile),"-18.600, -71.000"
Terremoto de Lima de 1746,"28 de octubre de 1746, 22:30",9,"Virreinato del Perú, parte del Imperio español (actual Perú)","-11.35000, -77.28000"
Terremoto de Cascadia de 1700,26 de enero de 1700,9,"Noroeste del Pacífico, parte del Imperio británico (actuales  Estados Unidos 
y  Canadá)",
Terremoto de Chile de 2010[17]​[18]​[19]​[20]​,"27 de febrero de 2010, 03:34",8.8,Chile,"-35.846000, -72.716000"
Terremoto de Ecuador y Colombia de 1906[22]​,"31 de enero de 1906, 15:36",8.8,"Ecuador
 Colombia","1.000, -81.500"
Terremoto de Sumatra de 1833[23]​[24]​[25]​,"25 de noviembre de 1833, 20:00",8.8,"Indias Orientales Neerlandesas
(actual  Indonesia)","-3.500, 102.200"
Terremoto de Lisboa de 1755[28]​,"1 de noviembre de 1755, 10:16",8.7,Portugal,"36, -11"
Terremoto de Valparaíso de 1730[29]​,"8 de julio de 1730, 04:45",8.7,"Capitanía General de Chile, parte del Imperio español (actual  Chile)","-33.500, -71.600"
Terremoto de Indonesia de 2012,,8.6,Indonesia,"2.311000, 93.063000"
Terremoto de Sumatra de 2005,"28 de marzo de 2005, 23:09",8.6,Indonesia,"2.600, 97.100"
Terremoto de las islas Andreanof de 1957,"9 de marzo de 1957, 14:22",8.6,Estados Unidos,"51.56000, -175.39000"
Terremoto de Assam de 1950,,8.6,"India
Tíbet (actual Región Autónoma del Tíbet,  China)","28.500, -96.500"
Terremoto de Vallenar de 1922[31]​,"10 de noviembre de 1922, 23:53",8.6,"Chile
 Argentina",
Terremoto de Nueva España de 1787,"28 de marzo de 1787, 11:30",8.6,"Virreinato de Nueva España, parte del Imperio español (actual México)",
Terremoto de Kamchatka de 1923[33]​,"3 de febrero de 1923, 04:58",8.5,Unión Soviética (actual Rusia),"54, 161"
Terremotos de Lima y Callao de 1687,"20 de octubre de 1687, 09:15",8.5,"Virreinato del Perú, parte del Imperio español (actual Perú)",
Terremoto de Valdivia de 1575[35]​,"16 de diciembre de 1575, 14:30",8.5,"Capitanía General de Chile, parte del Imperio español (actual  Chile)","-39.800, -73.200"
Terremoto de Coquimbo de 2015,"16 de septiembre de 2015, 19:54",8.4,Chile,"-31.58111, -71.75194"
Terremoto del sur del Perú de 2001,"23 de junio de 2001, 15:33",8.4,Perú,"-16.26000, -73.64000"
